date,close,change_close,open,high,low,volume,symbol
2019.09.27,7960.0,40.0,8040.0,8040.0,7930.0,87432.0,신한알파리츠
2019.09.26,8000.0,0.0,7970.0,8000.0,7940.0,98454.0,신한알파리츠
2019.09.25,8000.0,10.0,7980.0,8000.0,7930.0,122500.0,신한알파리츠
2019.09.24,7990.0,10.0,7990.0,8000.0,7970.0,104497.0,신한알파리츠
2019.09.23,7980.0,20.0,8000.0,8000.0,7940.0,103181.0,신한알파리츠
2019.09.20,8000.0,0.0,8000.0,8050.0,7960.0,142678.0,신한알파리츠
2019.09.19,8000.0,80.0,7880.0,8040.0,7880.0,128752.0,신한알파리츠
2019.09.18,7920.0,30.0,7920.0,7960.0,7890.0,62951.0,신한알파리츠
2019.09.17,7950.0,30.0,7990.0,7990.0,7910.0,86246.0,신한알파리츠
2019.09.16,7980.0,10.0,8020.0,8090.0,7950.0,120823.0,신한알파리츠
